Year,Country,CODE,DATA,ISO-3166-1 alpha-3
2021.0,Burundi,BDI,12551.213,BDI
2021.0,Comoros,COM,821.625,COM
2021.0,Djibouti,DJI,1105.557,DJI
2021.0,Eritrea,ERI,3620.312,ERI
2021.0,Ethiopia,ETH,120283.026,ETH
2021.0,Kenya,KEN,53005.614,KEN
2021.0,Madagascar,MDG,28915.653,MDG
2021.0,Malawi,MWI,19889.742,MWI
2021.0,Mauritius,MUS,1298.915,MUS
2021.0,Mayotte,MYT,316.014,MYT
2021.0,Mozambique,MOZ,32077.072,MOZ
2021.0,Réunion,REU,966.129,REU
2021.0,Rwanda,RWA,13461.888,RWA
2021.0,Seychelles,SYC,106.471,SYC
2021.0,Somalia,SOM,17065.581,SOM
2021.0,South Sudan,SSD,10748.272,SSD
2021.0,Uganda,UGA,45853.778,UGA
2021.0,United Republic of Tanzania,TZA,63588.334,TZA
2021.0,Zambia,ZMB,19473.125,ZMB
2021.0,Zimbabwe,ZWE,15993.524,ZWE
2021.0,Angola,AGO,34503.774,AGO
2021.0,Cameroon,CMR,27198.628,CMR
2021.0,Central African Republic,CAF,5457.154,CAF
2021.0,Chad,TCD,17179.74,TCD
2021.0,Congo,COG,5835.806,COG
2021.0,Democratic Republic of the Congo,COD,95894.118,COD
2021.0,Equatorial Guinea,GNQ,1634.466,GNQ
2021.0,Gabon,GAB,2341.179,GAB
2021.0,Sao Tome and Principe,STP,223.107,STP
2021.0,Algeria,DZA,44177.969,DZA
2021.0,Egypt,EGY,109262.178,EGY
2021.0,Libya,LBY,6735.277,LBY
2021.0,Morocco,MAR,37076.584,MAR
2021.0,Sudan,SDN,45657.202,SDN
2021.0,Tunisia,TUN,12262.946,TUN
2021.0,Western Sahara,ESH,565.581,ESH
2021.0,Botswana,BWA,2588.423,BWA
2021.0,Eswatini,SWZ,1192.271,SWZ
2021.0,Lesotho,LSO,2281.454,LSO
2021.0,Namibia,NAM,2530.151,NAM
2021.0,South Africa,ZAF,59392.255,ZAF
2021.0,Benin,BEN,12996.895,BEN
2021.0,Burkina Faso,BFA,22100.683,BFA
2021.0,Cabo Verde,CPV,587.925,CPV
2021.0,Côte d’Ivoire,CIV,27478.249,CIV
2021.0,Gambia,GMB,2639.916,GMB
2021.0,Ghana,GHA,32833.031,GHA
2021.0,Guinea,GIN,13531.906,GIN
2021.0,Guinea-Bissau,GNB,2060.721,GNB
2021.0,Liberia,LBR,5193.416,LBR
2021.0,Mali,MLI,21904.983,MLI
2021.0,Mauritania,MRT,4614.974,MRT
2021.0,Niger,NER,25252.722,NER
2021.0,Nigeria,NGA,213401.323,NGA
2021.0,Saint Helena,SHN,5.404,SHN
2021.0,Senegal,SEN,16876.72,SEN
2021.0,Sierra Leone,SLE,8420.641,SLE
2021.0,Togo,TGO,8644.829,TGO
2021.0,Kazakhstan,KAZ,19196.465,KAZ
2021.0,Kyrgyzstan,KGZ,6527.743,KGZ
2021.0,Tajikistan,TJK,9750.064,TJK
2021.0,Turkmenistan,TKM,6341.855,TKM
2021.0,Uzbekistan,UZB,34081.449,UZB
2021.0,China,CHN,1425893.465,CHN
2021.0,"China, Hong Kong SAR",HKG,7494.578,HKG
2021.0,"China, Macao SAR",MAC,686.607,MAC
2021.0,Democratic People's Republic of Korea,PRK,25971.909,PRK
2021.0,Japan,JPN,124612.53,JPN
2021.0,Mongolia,MNG,3347.782,MNG
2021.0,Republic of Korea,KOR,51830.139,KOR
2021.0,Afghanistan,AFG,40099.462,AFG
2021.0,Bangladesh,BGD,169356.251,BGD
2021.0,Bhutan,BTN,777.486,BTN
2021.0,India,IND,1407563.842,IND
2021.0,Iran (Islamic Republic of),IRN,87923.432,IRN
2021.0,Maldives,MDV,521.457,MDV
2021.0,Nepal,NPL,30034.989,NPL
2021.0,Pakistan,PAK,231402.117,PAK
2021.0,Sri Lanka,LKA,21773.441,LKA
2021.0,Brunei Darussalam,BRN,445.373,BRN
2021.0,Cambodia,KHM,16589.023,KHM
2021.0,Indonesia,IDN,273753.191,IDN
2021.0,Lao People's Democratic Republic,LAO,7425.057,LAO
2021.0,Malaysia,MYS,33573.874,MYS
2021.0,Myanmar,MMR,53798.084,MMR
2021.0,Philippines,PHL,113880.328,PHL
2021.0,Singapore,SGP,5941.06,SGP
2021.0,Thailand,THA,71601.103,THA
2021.0,Timor-Leste,TLS,1320.942,TLS
2021.0,Viet Nam,VNM,97468.029,VNM
2021.0,Armenia,ARM,2790.974,ARM
2021.0,Azerbaijan,AZE,10312.992,AZE
2021.0,Bahrain,BHR,1463.265,BHR
2021.0,Cyprus,CYP,1244.188,CYP
2021.0,Georgia,GEO,3757.98,GEO
2021.0,Iraq,IRQ,43533.592,IRQ
2021.0,Israel,ISR,8900.059,ISR
2021.0,Jordan,JOR,11148.278,JOR
2021.0,Kuwait,KWT,4250.114,KWT
2021.0,Lebanon,LBN,5592.631,LBN
2021.0,Oman,OMN,4520.471,OMN
2021.0,Qatar,QAT,2688.235,QAT
2021.0,Saudi Arabia,SAU,35950.396,SAU
2021.0,State of Palestine,PSE,5133.392,PSE
2021.0,Syrian Arab Republic,SYR,21324.367,SYR
2021.0,Türkiye,TUR,84775.404,TUR
2021.0,United Arab Emirates,ARE,9365.145,ARE
2021.0,Yemen,YEM,32981.641,YEM
2021.0,Belarus,BLR,9578.167,BLR
2021.0,Bulgaria,BGR,6885.868,BGR
2021.0,Czechia,CZE,10510.751,CZE
2021.0,Hungary,HUN,9709.786,HUN
2021.0,Poland,POL,38307.726,POL
2021.0,Republic of Moldova,MDA,3061.506,MDA
2021.0,Romania,ROU,19328.56,ROU
2021.0,Russian Federation,RUS,145102.755,RUS
2021.0,Slovakia,SVK,5447.622,SVK
2021.0,Ukraine,UKR,43531.422,UKR
2021.0,Denmark,DNK,5854.24,DNK
2021.0,Estonia,EST,1328.701,EST
2021.0,Faroe Islands,FRO,52.889,FRO
2021.0,Finland,FIN,5535.992,FIN
2021.0,Guernsey,GGY,63.065,GGY
2021.0,Iceland,ISL,370.335,ISL
2021.0,Ireland,IRL,4986.526,IRL
2021.0,Isle of Man,IMN,84.263,IMN
2021.0,Jersey,JEY,109.618,JEY
2021.0,Latvia,LVA,1873.919,LVA
2021.0,Lithuania,LTU,2786.651,LTU
2021.0,Norway,NOR,5403.021,NOR
2021.0,Sweden,SWE,10467.097,SWE
2021.0,United Kingdom of Great Britain and Northern Ireland,GBR,67281.039,GBR
2021.0,Albania,ALB,2854.71,ALB
2021.0,Andorra,AND,79.034,AND
2021.0,Bosnia and Herzegovina,BIH,3270.943,BIH
2021.0,Croatia,HRV,4060.135,HRV
2021.0,Gibraltar,GIB,32.669,GIB
2021.0,Greece,GRC,10445.365,GRC
2021.0,Holy See,VAT,0.511,VAT
2021.0,Italy,ITA,59240.329,ITA
2021.0,Malta,MLT,526.748,MLT
2021.0,Montenegro,MNE,627.859,MNE
2021.0,North Macedonia,MKD,2103.33,MKD
2021.0,Portugal,PRT,10290.103,PRT
2021.0,San Marino,SMR,33.745,SMR
2021.0,Serbia,SRB,7296.769,SRB
2021.0,Slovenia,SVN,2119.41,SVN
2021.0,Spain,ESP,47486.935,ESP
2021.0,Austria,AUT,8922.082,AUT
2021.0,Belgium,BEL,11611.419,BEL
2021.0,France,FRA,64531.444,FRA
2021.0,Germany,DEU,83408.554,DEU
2021.0,Liechtenstein,LIE,39.039,LIE
2021.0,Luxembourg,LUX,639.321,LUX
2021.0,Monaco,MCO,36.686,MCO
2021.0,Netherlands,NLD,17501.696,NLD
2021.0,Switzerland,CHE,8691.406,CHE
2021.0,Anguilla,AIA,15.753,AIA
2021.0,Antigua and Barbuda,ATG,93.219,ATG
2021.0,Aruba,ABW,106.537,ABW
2021.0,Bahamas,BHS,407.906,BHS
2021.0,Barbados,BRB,281.2,BRB
2021.0,Bonaire,BES,26.706,BES
2021.0,British Virgin Islands,VGB,31.122,VGB
2021.0,Cayman Islands,CYM,68.136,CYM
2021.0,Cuba,CUB,11256.372,CUB
2021.0,Curaçao,CUW,190.338,CUW
2021.0,Dominica,DMA,72.412,DMA
2021.0,Dominican Republic,DOM,11117.873,DOM
2021.0,Grenada,GRD,124.61,GRD
2021.0,Guadeloupe,GLP,396.051,GLP
2021.0,Haiti,HTI,11447.569,HTI
2021.0,Jamaica,JAM,2827.695,JAM
2021.0,Martinique,MTQ,368.796,MTQ
2021.0,Montserrat,MSR,4.417,MSR
2021.0,Puerto Rico,PRI,3256.028,PRI
2021.0,Saint Barthélemy,BLM,10.861,BLM
2021.0,Saint Kitts and Nevis,KNA,47.606,KNA
2021.0,Saint Lucia,LCA,179.651,LCA
2021.0,Saint Martin (French Part),MAF,31.948,MAF
2021.0,Saint Vincent and the Grenadines,VCT,104.332,VCT
2021.0,Sint Maarten (Dutch part),SXM,44.042,SXM
2021.0,Trinidad and Tobago,TTO,1525.663,TTO
2021.0,Turks and Caicos Islands,TCA,45.114,TCA
2021.0,United States Virgin Islands,VIR,100.091,VIR
2021.0,Belize,BLZ,400.031,BLZ
2021.0,Costa Rica,CRI,5153.957,CRI
2021.0,El Salvador,SLV,6314.167,SLV
2021.0,Guatemala,GTM,17608.483,GTM
2021.0,Honduras,HND,10278.345,HND
2021.0,Mexico,MEX,126705.138,MEX
2021.0,Nicaragua,NIC,6850.54,NIC
2021.0,Panama,PAN,4351.267,PAN
2021.0,Argentina,ARG,45276.78,ARG
2021.0,Bolivia (Plurinational State of),BOL,12079.472,BOL
2021.0,Brazil,BRA,214326.223,BRA
2021.0,Chile,CHL,19493.184,CHL
2021.0,Colombia,COL,51516.562,COL
2021.0,Ecuador,ECU,17797.737,ECU
2021.0,Falkland Islands (Malvinas),FLK,3.764,FLK
2021.0,French Guiana,GUF,297.449,GUF
2021.0,Guyana,GUY,804.567,GUY
2021.0,Paraguay,PRY,6703.799,PRY
2021.0,Peru,PER,33715.471,PER
2021.0,Suriname,SUR,612.985,SUR
2021.0,Uruguay,URY,3426.26,URY
2021.0,Venezuela (Bolivarian Republic of),VEN,28199.867,VEN
2021.0,Bermuda,BMU,64.185,BMU
2021.0,Canada,CAN,38155.012,CAN
2021.0,Greenland,GRL,56.243,GRL
2021.0,Saint Pierre and Miquelon,SPM,5.883,SPM
2021.0,United States of America,USA,336997.624,USA
2021.0,Australia,AUS,25921.089,AUS
2021.0,New Zealand,NZL,5129.727,NZL
2021.0,Fiji,FJI,924.61,FJI
2021.0,New Caledonia,NCL,287.8,NCL
2021.0,Papua New Guinea,PNG,9949.437,PNG
2021.0,Solomon Islands,SLB,707.851,SLB
2021.0,Vanuatu,VUT,319.137,VUT
2021.0,Guam,GUM,170.534,GUM
2021.0,Kiribati,KIR,128.874,KIR
2021.0,Marshall Islands,MHL,42.05,MHL
2021.0,Micronesia (Federated States of),FSM,113.131,FSM
2021.0,Nauru,NRU,12.511,NRU
2021.0,Northern Mariana Islands,MNP,49.481,MNP
2021.0,Palau,PLW,18.024,PLW
2021.0,American Samoa,ASM,45.035,ASM
2021.0,Cook Islands,COK,17.003,COK
2021.0,French Polynesia,PYF,304.032,PYF
2021.0,Niue,NIU,1.937,NIU
2021.0,Samoa,WSM,218.764,WSM
2021.0,Tokelau,TKL,1.849,TKL
2021.0,Tonga,TON,106.017,TON
2021.0,Tuvalu,TUV,11.204,TUV
2021.0,Wallis and Futuna Islands,WLF,11.627,WLF
