Country,temp,Average yearly temperature (1961�1990 Celsius) 
Zimbabwe,21.00 ,
Zambia,21.40 ,
Yemen,23.85 ,
Viet Nam,24.45 ,
Venezuela,25.35 ,
Vanuatu,23.95 ,
Uzbekistan,12.05 ,
Uruguay,17.55 ,
United States,8.55 ,
United Kingdom,8.45 ,
United Arab Emirates,26.65 ,
Ukraine,8.30 ,
Uganda,22.80 ,
Tuvalu,27.65 ,
Turkmenistan,15.10 ,
Turkey,9.90 ,
Tunisia,19.20 ,
Trinidad and Tobago,25.75 ,
Tonga,25.25 ,
Togo,27.15 ,
Timor-Leste,25.25 ,
Thailand,26.30 ,
Tanzania,22.35 ,
Tajikistan,6.40 ,
Syria,17.75 ,
Switzerland,5.10 ,
Sweden,1.75 ,
Suriname,25.70 ,
Sudan,26.90 ,
Sri Lanka,26.95 ,
Spain,13.30 ,
Republic of Korea,11.50 ,
South Africa,17.75 ,
Somalia,27.05 ,
Solomon Islands,25.65 ,
Slovenia,8.90 ,
Slovakia,6.80 ,
Singapore,26.45 ,
Sierra Leone,26.05 ,
Seychelles,27.15 ,
Serbia,10.55 ,
Senegal,27.85 ,
Saudi Arabia,24.65 ,
Sao Tome and Principe,23.75 ,
San Marino,11.85 ,
Samoa,26.70 ,
Saint Vincent and the Grenadines,26.80 ,
Saint Lucia,25.50 ,
Saint Kitts and Nevis,24.50 ,
Rwanda,17.85 ,
Russia,5.35 ,
Romania,8.80 ,
Congo,24.55 ,
Qatar,27.15 ,
Portugal,15.15 ,
Poland,7.85 ,
Philippines,25.55 ,
Peru,19.60 ,
Paraguay,23.55 ,
Papua New Guinea,25.25 ,
Panama,25.40 ,
Palau,27.60 ,
Pakistan,20.20 ,
Oman,25.60 ,
Norway,1.50 ,
North Macedonia,9.80 ,
Dem. People's Republic of Korea,5.70 ,
Nigeria,27.00 ,
Niger,27.15 ,
Nicaragua,24.90 ,
New Zealand,19.53 ,
Netherlands,9.25 ,
Nepal,8.10 ,
Namibia,19.95 ,
Myanmar,13.05 ,
Mozambique,23.80 ,
Morocco,17.10 ,
Montenegro,10.55 ,
Mongolia,1.70 ,
Monaco,13.55 ,
Moldova,9.45 ,
Mexico,21.00 ,
Mauritius,22.40 ,
Mauritania,27.65 ,
Marshall Islands,27.40 ,
Malta,19.20 ,
Mali,28.25 ,
Maldives,28.00 ,
Malaysia,25.40 ,
Malawi,21.90 ,
Madagascar,22.65 ,
Luxembourg,8.65 ,
Lithuania,6.20 ,
Liechtenstein,5.80 ,
Libya,21.80 ,
Liberia,25.30 ,
Lesotho,11.85 ,
Lebanon,15.00 ,
Latvia,5.60 ,
Lao People's Democratic Republic,22.80 ,
Kyrgyzstan,2.10 ,
Kuwait,27.15 ,
Kiribati,28.20 ,
Kenya,24.75 ,
Kazakhstan,5.50 ,
Jordan,18.30 ,
Japan,11.15 ,
Jamaica,24.95 ,
Côte d’Ivoire,26.35 ,
Italy,13.45 ,
Israel,19.20 ,
Ireland,9.30 ,
Iraq,21.40 ,
Iran,17.25 ,
Indonesia,25.85 ,
India,23.65 ,
Iceland,-0.70 ,
Hungary,9.75 ,
Hong Kon,21.45 ,
Honduras,23.50 ,
Haiti,24.90 ,
Guyana,26.00 ,
Guinea-Bissau,26.75 ,
Guinea,25.70 ,
Guatemala,23.45 ,
Grenada,26.00 ,
Greece,15.40 ,
Ghana,27.20 ,
Germany,8.40 ,
Georgia,5.65 ,
Gambia,27.50 ,
Gabon,25.05 ,
France,10.70 ,
Finland,1.55 ,
Fiji,24.40 ,
Federated States of Micronesia,25.85 ,
Ethiopia,22.20 ,
Eswatini,21.40 ,
Estonia,2.00 ,
Eritrea,25.50 ,
Equatorial Guinea,24.55 ,
El Salvador,24.45 ,
Egypt,22.10 ,
Ecuador,21.85 ,
Dominican Republic,24.55 ,
Dominica,22.35 ,
Djibouti,28.00 ,
Denmark,6.95 ,
Democratic Republic of the Congo,24.00 ,
Czech Republic,7.55 ,
Cyprus,18.45 ,
Cuba,25.20 ,
Croatia,10.90 ,
Costa Rica,24.80 ,
Comoros,25.30 ,
Colombia,24.50 ,
China,7.50 ,
Chile,8.45 ,
Chad,26.55 ,
Central African Republic,24.90 ,
Cape Verde,23.30 ,
Canada,-5.10 ,
Cameroon,24.60 ,
Cambodia,26.80 ,
Burundi,19.80 ,
Burkina Faso,28.29 ,
Bulgaria,10.55 ,
Brunei,26.85 ,
Brazil,24.95 ,
Botswana,21.50 ,
Bosnia and Herzegovina,9.85 ,
Bolivia,21.55 ,
Bhutan,7.40 ,
Benin,27.55 ,
Belize,25.35 ,
Belgium,9.55 ,
Belarus,6.15 ,
Barbados,26.00 ,
Bangladesh,25.00 ,
Bahrain,26.80 ,
Bahamas,24.85 ,
Azerbaijan,11.95 ,
Austria,6.35 ,
Australia,21.65 ,
Armenia,7.15 ,
Argentina,14.80 ,
Antigua and Barbuda,25.85 ,
Angola,21.55 ,
Andorra,7.60 ,
Algeria,22.50 ,
Albania,11.40 ,
Afghanistan,12.60 ,
